Revenue,Quarter,NVIDIA's quarterly revenue,NVIDIA's quarterly revenue (billion)
Total,Q2 2020,3866000000,3.866
Total,Q3 2020,4726000000,4.726
Total,Q4 2020,5003000000,5.003
Total,Q1 2021,5661000000,5.661
Total,Q2 2021,6507000000,6.507
Total,Q3 2021,7103000000,7.103
Total,Q4 2021,7643000000,7.643
Total,Q1 2022,8288000000,8.288
Total,Q2 2022,6704000000,6.704
Total,Q3 2022,5931000000,5.931
Total,Q4 2022,6051000000,6.051
Total,Q1 2023,7192000000,7.192
Total,Q2 2023,13507000000,13.507
Total,Q3 2023,18120000000,18.12
Total,Q4 2023,22103000000,22.103
Total,Q1 2024,26044000000,26.044
Total,Q2 2024,30040000000,30.04
Total,Q3 2024,35082000000,35.082
Total,Q4 2024,39331000000,39.331
Total,Q1 2025,44062000000,44.062
Total,Q2 2025,46743000000,46.743
Total,Q3 2025,57006000000,57.006
Total,Q4 2025,68127000000,68.127
Total,Q1 2026,81615000000,81.615
